-0.9,-1.845138
-0.89,-1.888228
-0.88,-1.932377
-0.87,-1.977639
-0.86,-2.024074
-0.85,-2.071742
-0.84,-2.120708
-0.83,-2.171042
-0.82,-2.222817
-0.81,-2.27611
-0.8,-2.331003
-0.79,-2.387584
-0.78,-2.445945
-0.77,-2.506184
-0.76,-2.568408
-0.75,-2.632725
-0.74,-2.699257
-0.73,-2.768128
-0.72,-2.839475
-0.71,-2.91344
-0.7,-2.990179
-0.69,-3.069857
-0.68,-3.152649
-0.67,-3.238746
-0.66,-3.328351
-0.65,-3.421682
-0.64,-3.518973
-0.63,-3.620479
-0.62,-3.726472
-0.61,-3.837247
-0.6,-3.953121
-0.59,-4.07444
-0.58,-4.201576
-0.57,-4.334936
-0.56,-4.474961
-0.55,-4.622129
-0.54,-4.776965
-0.53,-4.940039
-0.52,-5.111978
-0.51,-5.293466
-0.5,-5.485256
-0.49,-5.688177
-0.48,-5.90314
-0.47,-6.131155
-0.46,-6.373337
-0.45,-6.630924
-0.44,-6.905294
-0.43,-7.197982
-0.42,-7.510704
-0.41,-7.845382
-0.4,-8.204177
-0.39,-8.589524
-0.38,-9.004176
-0.37,-9.451254
-0.36,-9.934313
-0.35,-10.45741
-0.34,-11.025197
-0.33,-11.643029
-0.32,-12.317094
-0.31,-13.054578
-0.3,-13.863864
-0.29,-14.754782
-0.28,-15.738919
-0.27,-16.830014
-0.26,-18.04446
-0.25,-19.401944
-0.24,-20.926284
-0.23,-22.646516
-0.22,-24.598333
-0.21,-26.826023
-0.2,-29.385082
-0.19,-32.345817
-0.18,-35.798374
-0.17,-39.859896
-0.16,-44.684868
-0.15,-50.48044
-0.14,-57.529619
-0.13,-66.227351
-0.12,-77.138386
-0.11,-91.093382
